Bezirk;Anrede;KdgBezeichnung;KdgAdrPLZ;KdgAdrOrt;Gruppen;Tel;KdgAdrStr;DST
Amstetten;NÖ Landeskindergarten;Allhartsberg;3365;Allhartsberg;3;07448/2216;Markt 8;301001
Amstetten;NÖ Landeskindergarten;Amstetten, Kdg III;3300;Amstetten;2;07472/62577-30;Kirchenstraße 15;301002
Amstetten;NÖ Landeskindergarten;Amstetten, KG I;3300;Amstetten;3;07472/25739;Schulstraße 34;301003
Amstetten;NÖ Landeskindergarten;Amstetten, Allersdorf Kdg IV;3300;Amstetten;3;07472/25794;Allersdorferstraße 3;301005
Amstetten;NÖ Landeskindergarten;Amstetten, Kdg V;3300;Amstetten;3;07472/20770;Aluminiumstraße 15;301006
Amstetten;NÖ Landeskindergarten;Amstetten, Greinsfurth Kdg VIII;3300;Greinsfurth;3;07472/69915;Heidestraße 21;301007
Amstetten;NÖ Landeskindergarten;Amstetten, Hausmening Kdg XI;3363;Hausmening;3;07475/59019;Kindergartenstraße 1;301008
Amstetten;NÖ Landeskindergarten;Amstetten, Neufurth Kdg X;3363;Neufurth;3;07475/53700;Kindergartenstraße 5;301009
Amstetten;NÖ Landeskindergarten;Amstetten, Mauer Kdg IX;3362;Mauer;2;07475/53142;Bahnhofstraße 7;301010
Amstetten;NÖ Landeskindergarten;Amstetten, Ulmerfeld Kdg XII;3363;Ulmerfeld;1;07475/56810;Marktplatz 29;301011
Amstetten;NÖ Landeskindergarten;Amstetten, Kdg VI;3300;Amstetten;3;07472/25797;Anzengruberstraße 15;301012
Amstetten;NÖ Landeskindergarten;Ardagger;3321;Ardagger-Stift;3;07479/7282;Stift 16;301013
Amstetten;NÖ Landeskindergarten;Ardagger, Kollmitzberg;3321;Kollmitzberg;1;07479/6124;Kollmitzberg 5;301014
Amstetten;NÖ Landeskindergarten;Ardagger, Stephanshart;3321;Stephanshart;2;07479/7275;Dorfplatz 1;301015
Amstetten;NÖ Landeskindergarten;Aschbach;3361;Aschbach;6;07476/76538;Rathausplatz 2;301016
Amstetten;NÖ Landeskindergarten;Behamberg, Penz;4441;Behamberg;3;07252/31071;Behamberg 36;301017
Amstetten;NÖ Landeskindergarten;Behamberg, Ramingdorf;4441;Ramingdorf;2;07252/37848;Sportplatzstraße 1;301018
Amstetten;NÖ Landeskindergarten;Biberbach;3353;Biberbach;5;07476/8228;Im Ort 355;301019
Amstetten;NÖ Landeskindergarten;Ennsdorf;4482;Ennsdorf;3;07223/82206;Ziegelgasse 4a;301020
Amstetten;NÖ Landeskindergarten;Ernsthofen, Aigenfliessen;4432;Aigenfliessen;3;07435/845017;Hauptstraße 16;301021
Amstetten;NÖ Landeskindergarten;Ertl;3355;Ertl;2;07477/720113;Waidhofner Straße 5;301022
Amstetten;NÖ Landeskindergarten;Euratsfeld;3324;Euratsfeld;6;07474/310;Hoher Rain 7;301023
Amstetten;NÖ Landeskindergarten;Ferschnitz;3325;Ferschnitz;4;0664/88867942;Marktplatz 3;301024
Amstetten;NÖ Landeskindergarten;"Haag, ""Leopold Figl""";3350;Haag;4;07434/42362;Wienerstraße 24;301025
Amstetten;NÖ Landeskindergarten;"Haag, ""Erwin Pröll""";3350;Haag;6;07434/43924;Ernst Huber-Straße 18;301027
Amstetten;NÖ Landeskindergarten;Haidershofen;4431;Haidershofen;2;07434/42195;Vestenthal 7;301028
Amstetten;NÖ Landeskindergarten;Kematen an der Ybbs;3331;Kematen an der Ybbs;5;07448/2177;8a Straße 8;301029
Amstetten;NÖ Landeskindergarten;Neuhofen an der Ybbs;3364;Neuhofen an der Ybbs;5;07475/52660-16;Johannesstraße 35;301030
Amstetten;NÖ Landeskindergarten;Neustadtl an der Donau;3323;Neustadtl an der Donau;4;07471/2239;Kindergartenstraße 8;301031
Amstetten;NÖ Landeskindergarten;Oed-Oehling, Oed;3312;Oed 50;2;07478/258;;301032
Amstetten;NÖ Landeskindergarten;Oed-Oehling, Oehling;3362;Oehling 39;3;07475/56750;Kindergartenstraße 1;301033
Amstetten;NÖ Landeskindergarten;Opponitz;3342;Opponitz;2;07444/7486;Hauslehen 129;301034
Amstetten;NÖ Landeskindergarten;St. Georgen am Ybbsfelde;3304;St. Georgen am Ybbsfelde;6;07473/245012;Feuerwehrplatz 6;301035
Amstetten;NÖ Landeskindergarten;St. Pantaleon-Erla, Erla 8;4300;Erla;2;07435/7524;;301036
Amstetten;NÖ Landeskindergarten;St. Pantaleon-Erla, St. Pantaleon;4303;St. Pantaleon-Erla;2;07435/20167;Ringstraße 2;301037
