pointid;plz;ort;strasse;zusatztext;gefoerdert_jahr;note1;note2;bundesland;Breitenangabe;Längenangabe;;
1;2282;Markgrafneusiedl;Sportplatzweg;bei der Sportanlage;2002;Abenteuerspielplatz;Abenteuerspielplatz,2282, Markgrafneusiedl;N;48.272.495;16.624.964;;
2;2524;Teesdorf;;beim Bruno Seitz Wohnpark;;Abenteuerspielplatz;Abenteuerspielplatz,2524, Teesdorf;N;47.951.091;16.285.263;;
3;3945;Hoheneich;Sportplatzgasse 381;bei der Sportanlage;2005;Abenteuerspielplatz Hoheneich;Abenteuerspielplatz Hoheneich,3945, Hoheneich;N;48.771.322;15.020.740;;
4;3602;Rossatz-Hofarnsdorf;;in der Nähe der Kirche und Volksschule;2002;Kinderspielplatz Hofarnsdorf;Kinderspielplatz Hofarnsdorf,3602, Rossatz-Hofarnsdorf;N;48.396.184;15.429.421;;
5;3300;Amstetten;Friedrich Ludwig Jahn Strasse 10;neben Jahnturnhalle;2006;Barrierefreier Spielplatz;Barrierefreier Spielplatz,3300, Amstetten;N;48.120.407;14.868.363;;
6;4441;Behamberg;Nr. 38;anschließend an Schulhof der Volksschule;2003;Behambi-Land;Behambi-Land,4441, Behamberg;N;48.034.654;14.496.535;;
7;2291;Lassee;Am Holzgarten;;2002;Bittnerpark;Bittnerpark,2291, Lassee;N;48.223.585;16.825.078;;
8;2602;Blumau;In der Kasinostraße;;2004;Blumauer Spielplatz;Blumauer Spielplatz,2602, Blumau;N;47.916.999;16.286.477;;
9;3610;Weißenkirchen i.d.Wachau/Joching;;;2006;Erlebnisspielplatz;Erlebnisspielplatz,3610, Weißenkirchen i.d.Wachau/Joching;N;48.392.129;15.467.751;;
10;3922;Groß Gerungs;Großschönau 20;;;Erlebnisspielplatz;Erlebnisspielplatz,3922, Groß Gerungs;N;48.653.206;14.942.604;;
11;3922;Großschönau;Großschönau 120;;;Erlebnisspielplatz;Erlebnisspielplatz,3922, Großschönau;N;48.651.339;14.939.263;;
12;3961;Waldenstein;Nr. 65;im Dorfanger neben dem Vereinshaus;2005;Erlebnisspielplatz Albrechts;Erlebnisspielplatz Albrechts,3961, Waldenstein;N;48.728.783;15.016.145;;
13;2851;Krumbach;;beim Landschaftssee;2003;Erlebnisspielplatz Entenfuss;Erlebnisspielplatz Entenfuss,2851, Krumbach;N;47.519.689;16.191.994;;
14;3580;Horn;Frauenhofnerstraße;;2003;Erlebnisspielplatz im Stadtpark;Erlebnisspielplatz im Stadtpark,3580, Horn;N;48.664.204;15.650.846;;
15;3350;Haag;;am Salaberg;;Erlebnisspielplatz im Tierpark Haag;Erlebnisspielplatz im Tierpark Haag,3350, Haag;N;48.098.618;14.553.947;;
16;2135;Neudorf bei Staatz;;bei der Sportanlage, am Ortsende Richtung Zlabern;2004;Erlebnisspielplatz Sonnengarten;Erlebnisspielplatz Sonnengarten,2135, Neudorf bei Staatz;N;48.718.364;16.499.817;;
17;4431;Haidershofen;Vestenthal 117a;;2005;Erlebnisspielplatz Vestenthal;Erlebnisspielplatz Vestenthal,4431, Haidershofen;N;48.075.283;14.512.104;;
18;3353;Biberbach;;im Energieforscherdorf Biberbach, Sportzentrum Biberbach;2003;Erlebnis-Waldspielplatz;Erlebnis-Waldspielplatz ,3353, Biberbach;N;48.033.972;14.712.375;;
19;3970;Moorbad Harbach;Lauterbach Nr. 11;gegenüber dem FF-Haus, vor dem Bauernmuseum Lauterbach;2004;Gemeindespielplatz Lauterbach;Gemeindespielplatz Lauterbach,3970, Moorbad Harbach;N;48.708.285;14.795.705;;
20;2544;Leobersdorf;Dornauerstraße;Entlang der Triesting;;Generationenspielplatz;Generationenspielplatz,2544, Leobersdorf;N;47.929.448;16.224.582;;
21;2340;Mödling;Jägerhausgasse 1;;2005;Integrationsspielplatz Vorderbrühl;Integrationsspielplatz Vorderbrühl,2340, Mödling;N;48.080.744;16.265.246;;
22;3543;Krumau am Kamp;;;2006;Kinderparadies Preinreichs;Kinderparadies Preinreichs,3543, Krumau am Kamp;N;48.589.679;15.443.111;;
23;2230;Gänserndorf;;zwischen Seegasse und Protteser Straße sowie Bauhofgasse;2003;Kinderpark;Kinderpark,2230, Gänserndorf;N;48.344.684;16.722.510;;
