skz;name;plz;ort;strasse;tel;mail_vw;url_hp;art;
301011;Volksschule Krems an der Donau, Hafnerplatz;3500;Krems an der Donau;Hafnerplatz 1;02732/801-362;vs.krems-hafnerplatz@noeschule.at;www.vskrems-hafnerplatz.ac.at;APS $VS;
301013;Allgemeine Sonderschule Krems an der Donau;3500;Krems an der Donau;Edmund Hofbauer Straße 9;02732/73930;aso.krems@noeschule.at;www.asokrems.schulweb.at;APS $AS SPZ;
301014;Polytechnische Schule Krems an der Donau;3500;Krems an der Donau;Edmund-Hofbauer-Straße 9;02732/73920;pts.krems@noeschule.at;www.ptskrems.ac.at;APS PTS;
301016;Bundesgymnasium und Bundesrealgymnasium Krems, Piaristengasse;3500;Krems/Donau;Piaristengasse 2;02732/83300-0;bg.krems-piaristen@noeschule.at;www.piakrems.ac.at;AHS GYM;
30101F;IMC Fachhochschule Krems;3500;Krems/Donau;Piaristengasse 1;02732/802-0;;www.imc-krems.ac.at;FH;
301026;Bundesoberstufenrealgymnasium Krems;3500;Krems/Donau;Heinemannstraße 12;02732/82313;borg.krems@noeschule.at;www.borg-krems.ac.at;AHS ORG;
301036;Bundesrealgymnasium Krems, Ringstrasse;3500;Krems/Donau;Ringstraße 33;02732/82082-0;brg.krems@noeschule.at;www.brgkrems.ac.at;AHS GYM;
301041;Volksschule Krems an der Donau, Rehberg;3503;Krems an der Donau - Rehberg;Rehberger Hauptstraße 73;02732/71744;vs.krems-rehberg@noeschule.at;;APS $VS;
301042;Mary Ward Privathauptschule Krems, Vereinigung von Ordensschulen Österreichs;3500;Krems an der Donau;Hoher Markt 1;02732/82249-42;phs.krems@noeschule.at;www.marywardschulen.com/kremsphs/;APS $HS;
301046;MARY WARD Oberstufenrealgymnasium der Vereinigung von Ordensschulen Österreichs, Krems;3500;Krems/Donau;Hoher Markt 1;02732/82249-40;gym.krems@noeschule.at;www.gymkrems.ac.at;AHS ORG;
301051;Volksschule Krems an der Donau, Lerchenfeld;3502;Krems an der Donau - Lerchenfeld;Judenburger Straße 21;02732/801-361;vs.krems-lerchenfeld@noeschule.at;www.vskrems-lerchenfeld.ac.at;APS $VS;
301052;Neue Niederösterreichische Mittelschule Krems;3500;Krems;Edmund-Hofbauer-Straße 9;02732/73910-10;hs.krems@noeschule.at;www.hskrems.ac.at;APS $HS NMS;
301056;Bundesgymnasium Krems, Rechte Kremszeile;3500;Krems/Donau;Rechte Kremszeile 54;02732/82471-0;bg.krems-kremszeile@noeschule.at;www.bg-kremszeile.ac.at;AHS GYM;
301061;Volksschule Krems an der Donau, Stein;3504;Krems an der Donau - Stein;Maria Grengg-Gasse 2;02732/801/363;vs.krems-stein@noeschule.at;www.vskrems-stein.ac.at;APS $VS;
301071;Private Volksschule Krems der Hochschulstiftung der Erzdiözese Wien;3500;Krems an der Donau;Dr. Gschmeidler-Straße 22-30;02732/83591;;;APS $VS;
301081;Mary Ward Privatvolksschule Krems, Vereinigung von Ordensschulen Österreichs;3500;Krems an der Donau;Hoher Markt 1;02732/82249/31;pvs.krems@noeschule.at;www.pvskrems.ac.at;APS $VS;
301091;Volksschule Krems an der Donau, Egelsee;3500;Krems an der Donau - Egelsee;Schulstraße 8;0676848828334 od 0273241560;vs.krems-egelsee@noeschule.at;www.vskrems-egelsee.ac.at;APS $VS;
301418;Bundeshandelsakademie und Bundeshandelsschule Krems;3500;Krems/Donau;Langenloiser Straße 22;02732/82121-0;hak.krems@noeschule.at;www.hakkrems.ac.at;BBS K$S KMS KHS;
